fixture_id,gender,disc_id,match_no,match_day,match_date,match_time,end_time,round_name,group_id,team1_dist_id,team2_dist_id,venue,result
213,1,32,M-12,Day-1,NULL,NULL,NULL,NULL,3,27,2,NULL,NULL
214,1,32,M-13,Day-1,NULL,NULL,NULL,NULL,4,17,18,NULL,NULL
215,1,32,M-14,Day-1,NULL,NULL,NULL,NULL,5,8,29,NULL,NULL
216,1,32,M-15,Day-1,NULL,NULL,NULL,NULL,6,5,15,NULL,NULL
217,1,32,M-16,Day-1,NULL,NULL,NULL,NULL,7,24,1,NULL,NULL
218,1,32,M-17,Day-1,NULL,NULL,NULL,NULL,8,10,9,NULL,NULL
219,2,32,W-10,Day-1,NULL,NULL,NULL,NULL,1,27,24,NULL,NULL
220,1,32,M-18,Day-1,NULL,NULL,NULL,NULL,1,26,22,NULL,NULL
221,1,32,M-19,Day-1,NULL,NULL,NULL,NULL,2,28,13,NULL,NULL
222,2,32,W-11,Day-1,NULL,NULL,NULL,NULL,2,28,30,NULL,NULL
223,1,32,M-20,Day-1,NULL,NULL,NULL,NULL,3,14,2,NULL,NULL
224,2,32,W-12,Day-1,NULL,NULL,NULL,NULL,3,15,16,NULL,NULL
225,1,32,M-21,Day-1,NULL,NULL,NULL,NULL,4,23,18,NULL,NULL
226,2,32,W-13,Day-1,NULL,NULL,NULL,NULL,4,2,31,NULL,NULL
227,1,32,M-22,Day-1,NULL,NULL,NULL,NULL,5,11,29,NULL,NULL
228,2,32,W-14,Day-1,NULL,NULL,NULL,NULL,5,14,17,NULL,NULL
229,2,32,W-15,Day-1,NULL,NULL,NULL,NULL,6,5,6,NULL,NULL
230,1,32,M-23,Day-2,NULL,NULL,NULL,NULL,8,10,21,NULL,NULL
231,1,32,M-24,Day-2,NULL,NULL,NULL,NULL,6,4,15,NULL,NULL
232,2,32,W-16,Day-1,NULL,NULL,NULL,NULL,7,19,18,NULL,NULL
233,1,32,M-25,Day-2,NULL,NULL,NULL,NULL,7,16,1,NULL,NULL
234,1,32,M-26,Day-2,NULL,NULL,NULL,NULL,8,32,9,NULL,NULL
235,1,32,M-27,Day-2,NULL,NULL,NULL,NULL,1,25,31,NULL,NULL
236,2,32,W-17,Day-1,NULL,NULL,NULL,NULL,8,9,22,NULL,NULL
237,1,32,M-28,Day-2,NULL,NULL,NULL,NULL,2,6,12,NULL,NULL
238,1,32,M-29,Day-2,NULL,NULL,NULL,NULL,3,27,7,NULL,NULL
239,2,32,W-18,Day-1,NULL,NULL,NULL,NULL,1,20,24,NULL,NULL
240,1,32,M-30,Day-2,NULL,NULL,NULL,NULL,4,17,33,NULL,NULL
241,1,32,M-31,Day-2,NULL,NULL,NULL,NULL,5,8,30,NULL,NULL
242,2,32,W-19,Day-1,NULL,NULL,NULL,NULL,2,23,30,NULL,NULL
243,1,32,M-32,Day-2,NULL,NULL,NULL,NULL,8,20,21,NULL,NULL
244,1,32,M-33,Day-2,NULL,NULL,NULL,NULL,6,5,19,NULL,NULL
245,2,32,W-20,Day-1,NULL,NULL,NULL,NULL,3,32,16,NULL,NULL
246,1,32,M-34,Day-2,NULL,NULL,NULL,NULL,7,24,3,NULL,NULL
247,2,32,W-21,Day-1,NULL,NULL,NULL,NULL,4,4,31,NULL,NULL
248,2,32,W-22,Day-1,NULL,NULL,NULL,NULL,5,11,17,NULL,NULL
249,2,32,W-23,Day-1,NULL,NULL,NULL,NULL,8,25,21,NULL,NULL
250,1,32,M-35,Day-3,NULL,NULL,NULL,NULL,8,10,20,NULL,NULL
251,2,32,W-24,Day-2,NULL,NULL,NULL,NULL,8,9,21,NULL,NULL
252,1,32,M-36,Day-3,NULL,NULL,NULL,NULL,1,22,31,NULL,NULL
253,1,32,M-37,Day-3,NULL,NULL,NULL,NULL,2,13,12,NULL,NULL
254,2,32,W-25,Day-2,NULL,NULL,NULL,NULL,6,1,6,NULL,NULL
255,1,32,M-38,Day-3,NULL,NULL,NULL,NULL,3,2,7,NULL,NULL
256,2,32,W-26,Day-2,NULL,NULL,NULL,NULL,7,10,18,NULL,NULL
257,1,32,M-39,Day-3,NULL,NULL,NULL,NULL,4,18,33,NULL,NULL
258,1,32,M-40,Day-3,NULL,NULL,NULL,NULL,5,29,30,NULL,NULL
259,2,32,W-27,Day-2,NULL,NULL,NULL,NULL,8,26,22,NULL,NULL
260,1,32,M-41,Day-3,NULL,NULL,NULL,NULL,6,15,19,NULL,NULL
261,1,32,M-42,Day-3,NULL,NULL,NULL,NULL,7,1,3,NULL,NULL
262,2,32,W-28,Day-2,NULL,NULL,NULL,NULL,1,27,12,NULL,NULL
263,1,32,M-43,Day-3,NULL,NULL,NULL,NULL,8,32,20,NULL,NULL
264,2,32,W-29,Day-2,NULL,NULL,NULL,NULL,2,28,7,NULL,NULL
265,1,32,M-44,Day-3,NULL,NULL,NULL,NULL,1,26,25,NULL,NULL
266,2,32,W-30,Day-2,NULL,NULL,NULL,NULL,3,15,29,NULL,NULL
267,1,32,M-45,Day-3,NULL,NULL,NULL,NULL,2,28,6,NULL,NULL
268,1,32,M-46,Day-3,NULL,NULL,NULL,NULL,3,14,27,NULL,NULL
269,2,32,W-31,Day-2,NULL,NULL,NULL,NULL,4,2,3,NULL,NULL
270,1,32,M-47,Day-3,NULL,NULL,NULL,NULL,4,23,17,NULL,NULL
271,1,32,M-48,Day-3,NULL,NULL,NULL,NULL,5,11,8,NULL,NULL
272,2,32,W-32,Day-2,NULL,NULL,NULL,NULL,4,14,13,NULL,NULL
273,1,32,M-49,Day-3,NULL,NULL,NULL,NULL,6,4,5,NULL,NULL
274,2,32,W-33,Day-2,NULL,NULL,NULL,NULL,6,5,8,NULL,NULL
275,1,32,M-50,Day-3,NULL,NULL,NULL,NULL,7,16,24,NULL,NULL
276,2,32,W-34,Day-2,NULL,NULL,NULL,NULL,7,19,33,NULL,NULL
277,1,32,M-51,Day-3,NULL,NULL,NULL,NULL,8,9,21,NULL,NULL
278,1,32,M-52,Day-3,NULL,NULL,NULL,NULL,8,32,10,NULL,NULL
279,2,32,W-35,Day-3,NULL,NULL,NULL,NULL,8,9,25,NULL,NULL
280,2,32,W-36,Day-3,NULL,NULL,NULL,NULL,1,24,12,NULL,NULL
281,2,32,W-37,Day-3,NULL,NULL,NULL,NULL,2,30,7,NULL,NULL
282,2,32,W-38,Day-3,NULL,NULL,NULL,NULL,3,16,29,NULL,NULL
283,2,32,W-39,Day-3,NULL,NULL,NULL,NULL,4,31,3,NULL,NULL
284,2,32,W-40,Day-3,NULL,NULL,NULL,NULL,5,17,13,NULL,NULL
285,2,32,W-41,Day-3,NULL,NULL,NULL,NULL,6,6,8,NULL,NULL
286,2,32,W-42,Day-3,NULL,NULL,NULL,NULL,7,18,33,NULL,NULL
287,2,32,W-43,Day-3,NULL,NULL,NULL,NULL,8,26,25,NULL,NULL
288,2,32,W-44,Day-3,NULL,NULL,NULL,NULL,1,20,27,NULL,NULL
289,2,32,W-45,Day-3,NULL,NULL,NULL,NULL,2,23,28,NULL,NULL
290,2,32,W-46,Day-3,NULL,NULL,NULL,NULL,3,32,15,NULL,NULL
291,2,32,W-47,Day-3,NULL,NULL,NULL,NULL,4,4,2,NULL,NULL
292,2,32,W-48,Day-3,NULL,NULL,NULL,NULL,5,11,14,NULL,NULL
293,2,32,W-49,Day-3,NULL,NULL,NULL,NULL,6,1,5,NULL,NULL
294,2,32,W-50,Day-3,NULL,NULL,NULL,NULL,7,10,19,NULL,NULL
295,2,32,W-51,Day-3,NULL,NULL,NULL,NULL,8,22,21,NULL,NULL
296,2,32,W-52,Day-3,NULL,NULL,NULL,NULL,8,26,9,NULL,NULL
297,1,15,M-1,DAY-1,NULL,8:00,NULL,NULL,2,11,20,NULL,NULL
298,1,15,M-2,DAY-1,NULL,9:30,NULL,NULL,1,10,26,NULL,NULL
299,1,15,M-3,DAY-1,NULL,11:00,NULL,NULL,2,32,14,NULL,NULL
300,1,15,M-4,DAY-1,NULL,13:00,NULL,NULL,1,23,1,NULL,NULL
301,1,15,M-5,DAY-1,NULL,14:30,NULL,NULL,2,4,20,NULL,NULL
302,1,15,M-6,DAY-1,NULL,16:00,NULL,NULL,1,16,26,NULL,NULL
303,1,15,M-1,DAY-2,NULL,7:00,NULL,NULL,2,11,32,NULL,NULL
304,1,15,M-2,DAY-2,NULL,8:30,NULL,NULL,1,10,1,NULL,NULL
305,1,15,M-3,DAY-2,NULL,10:00,NULL,NULL,2,4,14,NULL,NULL
306,1,15,M-4,DAY-2,NULL,11:30,NULL,NULL,1,16,23,NULL,NULL
307,1,15,M-5,DAY-2,NULL,13:00,NULL,NULL,2,20,32,NULL,NULL
308,1,15,M-6,DAY-2,NULL,14:30,NULL,NULL,1,26,1,NULL,NULL
309,1,6,Court-1,Day-1,NULL,NULL,NULL,NULL,1,4,15,NULL,NULL
310,1,15,M-7,DAY-2,NULL,16:00,NULL,NULL,2,14,11,NULL,NULL
